iter	RMSE
0	0.5719695218
1	0.5581361912
2	0.5453449603
3	0.5330595328
4	0.5224192088
5	0.5115958925
6	0.5013132653
7	0.4913762461
8	0.483340676
9	0.4747293596
10	0.4673310765
11	0.4597236889
12	0.4529270359
13	0.4471278422
14	0.4413754712
15	0.4359594233
16	0.4310031449
17	0.4262597355
18	0.421845764
19	0.4176433547
20	0.4134138954
21	0.4098915438
22	0.4064118661
23	0.4030039863
24	0.3998068572
25	0.396581377
26	0.3940686804
27	0.3909343671
28	0.3880143673
29	0.3858483461
30	0.383078214
31	0.3811198482
32	0.3791599006
33	0.3770756441
34	0.375420358
35	0.3736517401
36	0.3723045647
37	0.3706354053
38	0.368855578
39	0.3672563303
40	0.3656051645
41	0.3640304333
42	0.3627301158
43	0.3616052594
44	0.3603382113
45	0.3592479221
46	0.3579399921
47	0.3568727125
48	0.3559806932
49	0.3548001683
50	0.3539150265
51	0.3530716169
52	0.3522041656
53	0.351436406
54	0.3506465933
55	0.3498505782
56	0.3488941497
57	0.3481627801
58	0.3474969216
59	0.3468533362
60	0.3459584145
61	0.3452173496
62	0.3446020223
63	0.3437726708
64	0.3430539136
65	0.3424008263
66	0.3416735086
67	0.3411503751
68	0.340620724
69	0.3402049799
70	0.3395109721
71	0.3390724268
72	0.3384996549
73	0.3380316046
74	0.3374744484
75	0.3369383556
76	0.336366789
77	0.3358742088
78	0.3352839514
79	0.3346917034
80	0.33421769
81	0.3336706837
82	0.3332113103
83	0.3328290362
84	0.3322322514
85	0.3318029497
86	0.3314235048
87	0.3309258527
88	0.3305151092
89	0.3301668869
90	0.3298811818
91	0.3295424727
92	0.3292134976
93	0.3287919022
94	0.3284510097
95	0.3281937717
96	0.3277332513
97	0.3274403151
98	0.3271894153
99	0.3267487371
100	0.3263729997
101	0.3260076659
102	0.325734604
103	0.3253111454
104	0.3250625013
105	0.3248430684
106	0.3245363844
107	0.3241197582
108	0.323727228
109	0.3234768849
110	0.3232253296
111	0.3226205087
112	0.3224406487
113	0.3221355917
114	0.3218463386
115	0.3216667873
116	0.321404793
117	0.321182511
118	0.3207704646
119	0.3204671347
120	0.3200547225
121	0.319855934
122	0.3196013036
123	0.3192725212
124	0.3187705439
125	0.3184579283
126	0.3180699163
127	0.3178448794
128	0.3175015187
129	0.3173372245
130	0.3170076093
131	0.3166980082
132	0.3163676001
133	0.3161497557
134	0.3159368247
135	0.3155718374
136	0.3154673707
137	0.3152157097
138	0.3148597742
139	0.3145895565
140	0.3143130429
141	0.3140025194
142	0.3138212346
143	0.31351488
144	0.3131842565
145	0.3128900787
146	0.3125771942
147	0.3123202974
148	0.3121167366
149	0.3117548482
150	0.3114562079
151	0.3110141049
152	0.310847616
153	0.3106721305
154	0.3104410565
155	0.3102256033
156	0.3100790637
157	0.3098752297
158	0.3095789595
159	0.3093930155
160	0.3091239305
161	0.3089027303
162	0.3085815735
163	0.3082546634
164	0.3080101589
165	0.3075551934
166	0.307278049
167	0.3070282197
168	0.3067662686
169	0.3064600148
170	0.3062353687
171	0.3058619179
172	0.3056106284
173	0.3049836382
174	0.3046972916
175	0.3044756631
176	0.3041805535
177	0.3039145846
178	0.3036088631
179	0.3033256678
180	0.3030226852
181	0.3028841866
182	0.3024813747
183	0.3022181684
184	0.3019287023
185	0.3015613443
186	0.3014730489
187	0.3011707771
188	0.30083107
189	0.3005015849
190	0.3002887051
191	0.3000288212
192	0.2998488716
193	0.2996070981
194	0.2993398937
195	0.2991354758
196	0.2988744025
197	0.2986135343
198	0.2983173481
199	0.2980989334
200	0.2979744201
201	0.2975422091
202	0.2970912785
203	0.2967943005
204	0.2966438755
205	0.2964337772
206	0.2961754338
207	0.2960349598
208	0.2958524706
209	0.2956347378
210	0.2953976589
211	0.2953497566
212	0.295094308
213	0.294943639
214	0.2946838834
215	0.2943222448
216	0.2941669319
217	0.2940250124
218	0.2938818456
219	0.2933336433
220	0.2931632217
221	0.2929050766
222	0.2925357623
223	0.2923134986
224	0.2919228334
225	0.2917505449
226	0.2916977571
227	0.2914365379
228	0.2910369104
229	0.2907949747
230	0.2905689593
231	0.2901307098
232	0.2900229073
233	0.2897983722
234	0.2894504965
235	0.2891684973
236	0.2889441355
237	0.2886605582
238	0.2883932433
239	0.2881637611
240	0.2881269298
241	0.2880189687
242	0.287794867
243	0.2876760991
244	0.2875150876
245	0.2873081919
246	0.2872662466
247	0.2871174218
248	0.2869819024
249	0.286729232
250	0.2863939511
251	0.2863617105
252	0.2860231565
253	0.2857010864
254	0.285667331
255	0.2856176548
256	0.285458202
257	0.2853206729
258	0.28497788
259	0.284832532
260	0.2846690603
261	0.2846042116
262	0.2843584318
263	0.2840131556
264	0.2839660561
265	0.283784895
266	0.2836229198
267	0.2834204681
268	0.2833842575
269	0.2831408597
270	0.2829793864
271	0.2829411447
272	0.2825788217
273	0.2824178137
274	0.2823836278
275	0.2821802068
276	0.2819633073
277	0.2817058267
278	0.2815691216
