iter	Passed	Remaining
0	13	13272
1	22	11299
2	28	9575
3	35	8941
4	43	8635
5	50	8316
6	57	8138
7	64	7961
8	72	8027
9	79	7873
10	86	7737
11	94	7742
12	100	7631
13	108	7613
14	114	7547
15	123	7567
16	129	7476
17	135	7374
18	144	7437
19	150	7364
20	157	7348
21	164	7318
22	171	7278
23	179	7297
24	186	7288
25	195	7328
26	205	7395
27	212	7373
28	219	7345
29	227	7359
30	235	7358
31	243	7360
32	250	7326
33	257	7312
34	263	7274
35	270	7251
36	277	7227
37	284	7204
38	292	7215
39	298	7165
40	306	7159
41	312	7133
42	319	7115
43	326	7099
44	333	7068
45	339	7042
46	346	7029
47	355	7044
48	361	7023
49	368	7001
50	376	7012
51	383	6987
52	391	6992
53	397	6969
54	405	6959
55	411	6943
56	419	6942
57	426	6932
58	433	6912
59	441	6914
60	448	6903
61	455	6889
62	462	6876
63	469	6866
64	476	6854
65	483	6835
66	490	6827
67	497	6813
68	504	6811
69	511	6789
70	517	6776
71	524	6766
72	531	6751
73	539	6746
74	545	6732
75	553	6733
76	560	6713
77	566	6701
78	573	6689
79	580	6678
80	587	6666
81	594	6653
82	602	6655
83	608	6639
84	615	6623
85	623	6625
86	630	6612
87	637	6608
88	644	6592
89	652	6597
90	659	6583
91	665	6568
92	674	6577
93	681	6564
94	689	6565
95	695	6552
96	702	6541
97	709	6530
98	716	6519
99	723	6513
100	730	6498
101	737	6492
102	743	6478
103	751	6472
104	757	6457
105	763	6441
106	771	6437
107	777	6425
108	784	6415
109	791	6407
110	798	6394
111	806	6391
112	812	6380
113	820	6376
114	827	6365
115	834	6358
116	840	6346
117	848	6338
118	854	6326
119	860	6313
120	867	6304
121	874	6294
122	881	6284
123	888	6275
124	894	6264
125	901	6254
126	908	6244
127	915	6237
128	922	6226
129	928	6215
130	936	6213
131	943	6205
132	950	6195
133	957	6186
134	964	6177
135	971	6173
136	981	6185
137	991	6191
138	999	6188
139	1005	6175
140	1011	6163
141	1019	6160
142	1026	6151
143	1034	6147
144	1040	6133
145	1047	6124
146	1054	6117
147	1060	6106
148	1068	6102
149	1074	6090
150	1082	6085
151	1089	6076
152	1096	6072
153	1103	6064
154	1110	6053
155	1118	6048
156	1124	6037
157	1132	6035
158	1138	6022
159	1145	6015
160	1153	6011
161	1160	6001
162	1168	5998
163	1175	5989
164	1181	5979
165	1189	5974
166	1197	5972
167	1204	5967
168	1211	5955
169	1220	5957
170	1226	5947
171	1234	5944
172	1241	5934
173	1249	5931
174	1256	5924
175	1262	5911
176	1269	5902
177	1275	5892
178	1283	5887
179	1290	5878
180	1297	5871
181	1304	5862
182	1310	5851
183	1318	5845
184	1323	5832
185	1330	5824
186	1337	5816
187	1344	5808
188	1351	5800
189	1358	5791
190	1366	5786
191	1373	5778
192	1380	5770
193	1387	5762
194	1393	5753
195	1400	5745
196	1406	5734
197	1413	5726
198	1420	5718
199	1427	5709
200	1434	5702
201	1441	5694
202	1447	5684
203	1453	5673
204	1462	5672
205	1469	5662
206	1475	5651
207	1482	5645
208	1488	5634
209	1496	5628
210	1502	5619
211	1509	5609
212	1516	5604
213	1523	5596
214	1531	5590
215	1537	5580
216	1545	5576
217	1551	5567
218	1558	5557
219	1565	5551
220	1571	5541
221	1579	5535
222	1586	5526
223	1593	5518
224	1599	5507
225	1605	5498
226	1612	5490
227	1618	5481
228	1625	5471
229	1632	5466
230	1638	5455
231	1646	5451
232	1652	5440
233	1659	5432
234	1666	5424
235	1672	5415
236	1680	5409
237	1687	5401
238	1695	5397
239	1701	5388
240	1707	5378
241	1714	5371
242	1721	5361
243	1728	5354
244	1734	5343
245	1740	5335
246	1747	5328
247	1754	5319
248	1760	5310
249	1767	5302
250	1773	5293
251	1780	5285
252	1787	5277
253	1795	5274
254	1801	5264
255	1808	5255
256	1815	5248
257	1821	5239
258	1829	5233
259	1835	5225
260	1844	5221
261	1850	5213
262	1857	5205
263	1864	5197
264	1870	5187
265	1877	5180
266	1883	5170
267	1889	5161
268	1896	5153
269	1902	5144
270	1910	5139
271	1915	5127
272	1922	5119
273	1929	5112
274	1935	5103
275	1944	5099
276	1950	5091
277	1957	5084
278	1964	5077
279	1971	5068
280	1979	5064
281	1985	5054
282	1992	5049
283	1999	5040
284	2005	5032
285	2013	5025
286	2019	5016
287	2026	5011
288	2033	5002
289	2041	4997
290	2047	4989
291	2054	4980
292	2061	4974
293	2068	4966
294	2076	4961
295	2082	4952
296	2089	4944
297	2095	4937
298	2102	4928
299	2109	4921
300	2115	4913
301	2123	4908
302	2129	4899
303	2136	4891
304	2143	4884
305	2149	4875
306	2158	4871
307	2164	4863
308	2170	4853
309	2178	4849
310	2185	4842
311	2192	4835
312	2198	4825
313	2205	4818
314	2213	4812
315	2219	4804
316	2227	4798
317	2233	4790
318	2240	4783
319	2247	4775
320	2253	4765
321	2260	4759
322	2266	4751
323	2273	4743
324	2280	4736
325	2286	4727
326	2294	4722
327	2300	4714
328	2308	4708
329	2315	4700
330	2323	4696
331	2330	4689
332	2337	4682
333	2344	4674
334	2351	4666
335	2358	4661
336	2365	4653
337	2372	4646
338	2378	4638
339	2385	4629
340	2392	4623
341	2398	4615
342	2406	4608
343	2412	4600
344	2419	4593
345	2426	4585
346	2432	4577
347	2440	4572
348	2446	4563
349	2453	4556
350	2460	4549
351	2466	4540
352	2473	4534
353	2480	4527
354	2489	4522
355	2496	4515
356	2502	4506
357	2508	4498
358	2514	4490
359	2521	4482
360	2528	4475
361	2537	4471
362	2542	4462
363	2549	4455
364	2556	4448
365	2563	4440
366	2570	4433
367	2577	4426
368	2583	4418
369	2591	4412
370	2598	4404
371	2604	4396
372	2610	4388
373	2617	4380
374	2624	4373
375	2631	4366
376	2638	4359
377	2644	4351
378	2651	4343
379	2658	4337
380	2664	4329
381	2671	4322
382	2678	4315
383	2685	4307
384	2691	4299
385	2697	4291
386	2705	4285
387	2711	4277
388	2720	4272
389	2726	4264
390	2732	4255
391	2740	4250
392	2746	4242
393	2754	4236
394	2762	4230
395	2768	4223
396	2775	4215
397	2782	4208
398	2791	4204
399	2797	4196
400	2806	4191
401	2813	4184
402	2820	4178
403	2826	4169
404	2832	4161
405	2840	4155
406	2846	4147
407	2854	4142
408	2861	4134
409	2868	4127
410	2875	4120
411	2882	4113
412	2889	4106
413	2895	4098
414	2902	4091
415	2909	4084
416	2917	4079
417	2924	4071
418	2930	4063
419	2938	4057
420	2945	4050
421	2953	4045
422	2959	4037
423	2968	4032
424	2974	4024
425	2981	4017
426	2988	4009
427	2994	4002
428	3001	3995
429	3008	3987
430	3015	3980
431	3022	3974
432	3028	3965
433	3035	3959
434	3042	3952
435	3051	3946
436	3057	3938
437	3062	3929
438	3069	3922
439	3076	3915
440	3083	3909
441	3090	3901
442	3096	3893
443	3105	3888
444	3111	3880
445	3119	3874
446	3126	3867
447	3133	3861
448	3140	3854
449	3147	3847
450	3154	3840
451	3161	3832
452	3169	3826
453	3175	3819
454	3183	3812
455	3189	3805
456	3195	3797
457	3203	3791
458	3210	3783
459	3217	3777
460	3224	3769
461	3231	3762
462	3238	3756
463	3245	3748
464	3252	3742
465	3260	3735
466	3267	3729
467	3273	3721
468	3280	3714
469	3287	3707
470	3293	3699
471	3301	3693
472	3308	3686
473	3316	3680
474	3322	3672
475	3329	3665
476	3336	3658
477	3342	3650
478	3349	3643
479	3356	3636
480	3362	3628
481	3369	3621
482	3376	3614
483	3384	3607
484	3391	3601
